round,Accuracy,Cluster,Classifier,X1,X2,Label,GT_Label
150,1.0,,TraditionalBatch,,,0,0
151,1.0,,TraditionalBatch,,,1,1
152,0.6666666666666666,,TraditionalBatch,,,1,0
153,0.75,,TraditionalBatch,,,1,1
154,0.6,,TraditionalBatch,,,1,0
155,0.5,,TraditionalBatch,,,1,0
156,0.5714285714285714,,TraditionalBatch,,,1,1
157,0.5,,TraditionalBatch,,,1,0
158,0.5555555555555556,,TraditionalBatch,,,1,1
159,0.6,,TraditionalBatch,,,1,1
160,0.6363636363636364,,TraditionalBatch,,,0,0
161,0.6666666666666666,,TraditionalBatch,,,1,1
162,0.6923076923076923,,TraditionalBatch,,,1,1
163,0.6428571428571429,,TraditionalBatch,,,1,0
164,0.6666666666666666,,TraditionalBatch,,,1,1
165,0.625,,TraditionalBatch,,,1,0
166,0.6470588235294118,,TraditionalBatch,,,1,1
167,0.6666666666666666,,TraditionalBatch,,,1,1
168,0.6842105263157895,,TraditionalBatch,,,1,1
169,0.7,,TraditionalBatch,,,1,1
170,0.6666666666666666,,TraditionalBatch,,,1,0
171,0.6818181818181818,,TraditionalBatch,,,1,1
172,0.6956521739130435,,TraditionalBatch,,,1,1
173,0.6666666666666666,,TraditionalBatch,,,1,0
174,0.64,,TraditionalBatch,,,1,0
175,0.6153846153846154,,TraditionalBatch,,,1,0
176,0.6296296296296297,,TraditionalBatch,,,1,1
177,0.6428571428571429,,TraditionalBatch,,,1,1
178,0.6551724137931034,,TraditionalBatch,,,1,1
179,0.6666666666666666,,TraditionalBatch,,,1,1
180,0.6451612903225806,,TraditionalBatch,,,1,0
181,0.65625,,TraditionalBatch,,,1,1
182,0.6666666666666666,,TraditionalBatch,,,1,1
183,0.6470588235294118,,TraditionalBatch,,,1,0
184,0.6571428571428571,,TraditionalBatch,,,1,1
185,0.6388888888888888,,TraditionalBatch,,,1,0
186,0.6216216216216216,,TraditionalBatch,,,1,0
187,0.6052631578947368,,TraditionalBatch,,,1,0
188,0.6153846153846154,,TraditionalBatch,,,1,1
189,0.6,,TraditionalBatch,,,1,0
190,0.6097560975609756,,TraditionalBatch,,,1,1
191,0.6190476190476191,,TraditionalBatch,,,0,0
192,0.627906976744186,,TraditionalBatch,,,0,0
193,0.6363636363636364,,TraditionalBatch,,,1,1
194,0.6222222222222222,,TraditionalBatch,,,1,0
195,0.6086956521739131,,TraditionalBatch,,,1,0
196,0.6170212765957447,,TraditionalBatch,,,1,1
197,0.625,,TraditionalBatch,,,0,0
198,0.6326530612244898,,TraditionalBatch,,,1,1
199,0.64,,TraditionalBatch,,,1,1
200,0.6470588235294118,,TraditionalBatch,,,1,1
201,0.6346153846153846,,TraditionalBatch,,,1,0
202,0.6415094339622641,,TraditionalBatch,,,1,1
203,0.6296296296296297,,TraditionalBatch,,,1,0
204,0.6181818181818182,,TraditionalBatch,,,1,0
205,0.625,,TraditionalBatch,,,1,1
206,0.631578947368421,,TraditionalBatch,,,1,1
207,0.6206896551724138,,TraditionalBatch,,,1,0
208,0.6271186440677966,,TraditionalBatch,,,1,1
209,0.6333333333333333,,TraditionalBatch,,,1,1
210,0.6229508196721312,,TraditionalBatch,,,1,0
211,0.6129032258064516,,TraditionalBatch,,,1,0
212,0.6190476190476191,,TraditionalBatch,,,0,0
213,0.625,,TraditionalBatch,,,0,0
214,0.6307692307692307,,TraditionalBatch,,,0,0
215,0.6363636363636364,,TraditionalBatch,,,1,1
216,0.6417910447761194,,TraditionalBatch,,,1,1
217,0.6470588235294118,,TraditionalBatch,,,1,1
218,0.6376811594202898,,TraditionalBatch,,,1,0
219,0.6428571428571429,,TraditionalBatch,,,1,1
220,0.647887323943662,,TraditionalBatch,,,1,1
221,0.6388888888888888,,TraditionalBatch,,,1,0
222,0.6438356164383562,,TraditionalBatch,,,1,1
223,0.6486486486486487,,TraditionalBatch,,,1,1
224,0.6533333333333333,,TraditionalBatch,,,1,1
225,0.6578947368421053,,TraditionalBatch,,,1,1
226,0.6493506493506493,,TraditionalBatch,,,1,0
227,0.6538461538461539,,TraditionalBatch,,,1,1
228,0.6455696202531646,,TraditionalBatch,,,1,0
229,0.65,,TraditionalBatch,,,1,1
230,0.654320987654321,,TraditionalBatch,,,1,1
231,0.6463414634146342,,TraditionalBatch,,,1,0
232,0.6506024096385542,,TraditionalBatch,,,1,1
233,0.6547619047619048,,TraditionalBatch,,,1,1
234,0.6588235294117647,,TraditionalBatch,,,1,1
235,0.6627906976744186,,TraditionalBatch,,,1,1
236,0.6551724137931034,,TraditionalBatch,,,1,0
237,0.6477272727272727,,TraditionalBatch,,,1,0
238,0.651685393258427,,TraditionalBatch,,,0,0
239,0.6444444444444445,,TraditionalBatch,,,1,0
240,0.6373626373626373,,TraditionalBatch,,,1,0
241,0.6304347826086957,,TraditionalBatch,,,1,0
242,0.6344086021505376,,TraditionalBatch,,,1,1
243,0.6382978723404256,,TraditionalBatch,,,1,1
244,0.631578947368421,,TraditionalBatch,,,1,0
245,0.6354166666666666,,TraditionalBatch,,,1,1
246,0.6288659793814433,,TraditionalBatch,,,1,0
247,0.6224489795918368,,TraditionalBatch,,,1,0
248,0.6161616161616161,,TraditionalBatch,,,1,0
249,0.61,,TraditionalBatch,,,1,0
250,0.6138613861386139,,TraditionalBatch,,,1,1
251,0.6176470588235294,,TraditionalBatch,,,0,0
252,0.6213592233009708,,TraditionalBatch,,,1,1
253,0.6153846153846154,,TraditionalBatch,,,1,0
254,0.6190476190476191,,TraditionalBatch,,,0,0
255,0.6226415094339622,,TraditionalBatch,,,1,1
256,0.6261682242990654,,TraditionalBatch,,,0,0
257,0.6203703703703703,,TraditionalBatch,,,1,0
258,0.6238532110091743,,TraditionalBatch,,,1,1
259,0.6272727272727273,,TraditionalBatch,,,1,1
260,0.6216216216216216,,TraditionalBatch,,,1,0
261,0.625,,TraditionalBatch,,,1,1
262,0.6283185840707964,,TraditionalBatch,,,1,1
263,0.631578947368421,,TraditionalBatch,,,1,1
264,0.6260869565217392,,TraditionalBatch,,,1,0
265,0.6206896551724138,,TraditionalBatch,,,1,0
266,0.6239316239316239,,TraditionalBatch,,,0,0
267,0.6186440677966102,,TraditionalBatch,,,1,0
268,0.6134453781512605,,TraditionalBatch,,,1,0
269,0.6166666666666667,,TraditionalBatch,,,0,0
270,0.6115702479338843,,TraditionalBatch,,,1,0
271,0.6147540983606558,,TraditionalBatch,,,0,0
272,0.6178861788617886,,TraditionalBatch,,,0,0
273,0.6209677419354839,,TraditionalBatch,,,1,1
274,0.624,,TraditionalBatch,,,1,1
275,0.626984126984127,,TraditionalBatch,,,1,1
276,0.6299212598425197,,TraditionalBatch,,,1,1
277,0.6328125,,TraditionalBatch,,,1,1
278,0.6356589147286822,,TraditionalBatch,,,1,1
279,0.6384615384615384,,TraditionalBatch,,,0,0
280,0.6412213740458015,,TraditionalBatch,,,1,1
281,0.6439393939393939,,TraditionalBatch,,,1,1
282,0.6466165413533834,,TraditionalBatch,,,1,1
283,0.6492537313432836,,TraditionalBatch,,,1,1
284,0.6518518518518519,,TraditionalBatch,,,1,1
285,0.6470588235294118,,TraditionalBatch,,,1,0
286,0.6496350364963503,,TraditionalBatch,,,0,0
287,0.6521739130434783,,TraditionalBatch,,,0,0
288,0.6474820143884892,,TraditionalBatch,,,1,0
289,0.6428571428571429,,TraditionalBatch,,,1,0
290,0.6453900709219859,,TraditionalBatch,,,0,0
291,0.6408450704225352,,TraditionalBatch,,,1,0
292,0.6433566433566433,,TraditionalBatch,,,1,1
293,0.6458333333333334,,TraditionalBatch,,,1,1
294,0.6482758620689655,,TraditionalBatch,,,1,1
295,0.6506849315068494,,TraditionalBatch,,,1,1
296,0.6530612244897959,,TraditionalBatch,,,0,0
297,0.6554054054054054,,TraditionalBatch,,,1,1
298,0.6510067114093959,,TraditionalBatch,,,1,0
299,0.6533333333333333,,TraditionalBatch,,,1,1
300,0.6490066225165563,,TraditionalBatch,,,1,0
301,0.6513157894736842,,TraditionalBatch,,,1,1
302,0.6470588235294118,,TraditionalBatch,,,1,0
303,0.6493506493506493,,TraditionalBatch,,,1,1
304,0.6516129032258065,,TraditionalBatch,,,1,1
305,0.6538461538461539,,TraditionalBatch,,,1,1
306,0.6560509554140127,,TraditionalBatch,,,0,0
307,0.6518987341772152,,TraditionalBatch,,,1,0
308,0.6540880503144654,,TraditionalBatch,,,0,0
309,0.65,,TraditionalBatch,,,1,0
310,0.6521739130434783,,TraditionalBatch,,,1,1
311,0.6481481481481481,,TraditionalBatch,,,1,0
312,0.6503067484662577,,TraditionalBatch,,,0,0
313,0.6524390243902439,,TraditionalBatch,,,1,1
314,0.6545454545454545,,TraditionalBatch,,,1,1
315,0.6566265060240963,,TraditionalBatch,,,0,0
316,0.6526946107784432,,TraditionalBatch,,,1,0
317,0.6547619047619048,,TraditionalBatch,,,0,0
318,0.650887573964497,,TraditionalBatch,,,1,0
319,0.6529411764705882,,TraditionalBatch,,,1,1
320,0.6549707602339181,,TraditionalBatch,,,1,1
321,0.6569767441860465,,TraditionalBatch,,,0,0
322,0.6589595375722543,,TraditionalBatch,,,0,0
323,0.6609195402298851,,TraditionalBatch,,,1,1
324,0.6571428571428571,,TraditionalBatch,,,1,0
325,0.6590909090909091,,TraditionalBatch,,,1,1
326,0.6610169491525424,,TraditionalBatch,,,1,1
327,0.6573033707865169,,TraditionalBatch,,,1,0
328,0.659217877094972,,TraditionalBatch,,,1,1
329,0.6611111111111111,,TraditionalBatch,,,1,1
330,0.6629834254143646,,TraditionalBatch,,,1,1
331,0.6648351648351648,,TraditionalBatch,,,1,1
332,0.6666666666666666,,TraditionalBatch,,,1,1
333,0.6630434782608695,,TraditionalBatch,,,1,0
334,0.6648648648648648,,TraditionalBatch,,,0,0
335,0.6666666666666666,,TraditionalBatch,,,1,1
336,0.6684491978609626,,TraditionalBatch,,,1,1
337,0.6702127659574468,,TraditionalBatch,,,0,0
338,0.6666666666666666,,TraditionalBatch,,,1,0
339,0.6631578947368421,,TraditionalBatch,,,1,0
340,0.6649214659685864,,TraditionalBatch,,,0,0
341,0.6666666666666666,,TraditionalBatch,,,0,0
342,0.6683937823834197,,TraditionalBatch,,,0,0
343,0.6701030927835051,,TraditionalBatch,,,1,1
344,0.6717948717948717,,TraditionalBatch,,,1,1
345,0.673469387755102,,TraditionalBatch,,,0,0
346,0.6751269035532995,,TraditionalBatch,,,0,0
347,0.6767676767676768,,TraditionalBatch,,,1,1
348,0.678391959798995,,TraditionalBatch,,,0,0
349,0.68,,TraditionalBatch,,,0,0
350,0.681592039800995,,TraditionalBatch,,,1,1
351,0.6831683168316832,,TraditionalBatch,,,1,1
352,0.6847290640394089,,TraditionalBatch,,,1,1
353,0.6862745098039216,,TraditionalBatch,,,1,1
354,0.6878048780487804,,TraditionalBatch,,,0,0
355,0.6893203883495146,,TraditionalBatch,,,1,1
356,0.6908212560386473,,TraditionalBatch,,,0,0
357,0.6923076923076923,,TraditionalBatch,,,1,1
358,0.69377990430622,,TraditionalBatch,,,1,1
359,0.6952380952380952,,TraditionalBatch,,,0,0
360,0.6966824644549763,,TraditionalBatch,,,1,1
361,0.6981132075471698,,TraditionalBatch,,,0,0
362,0.6995305164319249,,TraditionalBatch,,,0,0
363,0.7009345794392523,,TraditionalBatch,,,1,1
364,0.6976744186046512,,TraditionalBatch,,,1,0
365,0.6944444444444444,,TraditionalBatch,,,1,0
366,0.695852534562212,,TraditionalBatch,,,1,1
367,0.6972477064220184,,TraditionalBatch,,,0,0
368,0.6940639269406392,,TraditionalBatch,,,1,0
369,0.6954545454545454,,TraditionalBatch,,,0,0
370,0.6968325791855203,,TraditionalBatch,,,1,1
371,0.6981981981981982,,TraditionalBatch,,,0,0
372,0.6995515695067265,,TraditionalBatch,,,1,1
373,0.7008928571428571,,TraditionalBatch,,,1,1
374,0.6977777777777778,,TraditionalBatch,,,1,0
375,0.6991150442477876,,TraditionalBatch,,,1,1
376,0.7004405286343612,,TraditionalBatch,,,1,1
377,0.7017543859649122,,TraditionalBatch,,,0,0
378,0.6986899563318777,,TraditionalBatch,,,0,1
379,0.7,,TraditionalBatch,,,1,1
380,0.7012987012987013,,TraditionalBatch,,,0,0
381,0.7025862068965517,,TraditionalBatch,,,1,1
382,0.703862660944206,,TraditionalBatch,,,0,0
383,0.7008547008547008,,TraditionalBatch,,,0,1
384,0.7021276595744681,,TraditionalBatch,,,0,0
385,0.7033898305084746,,TraditionalBatch,,,1,1
386,0.7046413502109705,,TraditionalBatch,,,0,0
387,0.7058823529411765,,TraditionalBatch,,,0,0
388,0.7071129707112971,,TraditionalBatch,,,1,1
389,0.7083333333333334,,TraditionalBatch,,,0,0
390,0.7095435684647303,,TraditionalBatch,,,1,1
391,0.7107438016528925,,TraditionalBatch,,,1,1
392,0.7119341563786008,,TraditionalBatch,,,1,1
393,0.7131147540983607,,TraditionalBatch,,,1,1
394,0.7142857142857143,,TraditionalBatch,,,1,1
395,0.7154471544715447,,TraditionalBatch,,,1,1
396,0.7165991902834008,,TraditionalBatch,,,1,1
397,0.717741935483871,,TraditionalBatch,,,1,1
398,0.7188755020080321,,TraditionalBatch,,,1,1
399,0.72,,TraditionalBatch,,,1,1
400,0.7211155378486056,,TraditionalBatch,,,1,1
401,0.7182539682539683,,TraditionalBatch,,,1,0
402,0.7193675889328063,,TraditionalBatch,,,1,1
403,0.7204724409448819,,TraditionalBatch,,,0,0
404,0.7215686274509804,,TraditionalBatch,,,0,0
405,0.72265625,,TraditionalBatch,,,1,1
406,0.7237354085603113,,TraditionalBatch,,,1,1
407,0.7248062015503876,,TraditionalBatch,,,1,1
408,0.7258687258687259,,TraditionalBatch,,,1,1
409,0.7269230769230769,,TraditionalBatch,,,1,1
410,0.7279693486590039,,TraditionalBatch,,,1,1
411,0.7290076335877863,,TraditionalBatch,,,1,1
412,0.7300380228136882,,TraditionalBatch,,,1,1
413,0.7310606060606061,,TraditionalBatch,,,1,1
414,0.7320754716981132,,TraditionalBatch,,,1,1
415,0.7293233082706767,,TraditionalBatch,,,1,0
416,0.7265917602996255,,TraditionalBatch,,,1,0
417,0.7276119402985075,,TraditionalBatch,,,0,0
418,0.7286245353159851,,TraditionalBatch,,,1,1
419,0.7296296296296296,,TraditionalBatch,,,0,0
420,0.7306273062730627,,TraditionalBatch,,,0,0
421,0.7279411764705882,,TraditionalBatch,,,1,0
422,0.7252747252747253,,TraditionalBatch,,,1,0
423,0.7262773722627737,,TraditionalBatch,,,1,1
424,0.7272727272727273,,TraditionalBatch,,,0,0
425,0.7246376811594203,,TraditionalBatch,,,1,0
426,0.7256317689530686,,TraditionalBatch,,,1,1
