round,Accuracy,Cluster,Classifier,X1,X2,Label,GT_Label
150,1.0,,TraditionalBatch,,,0,0
151,0.5,,TraditionalBatch,,,0,1
152,0.6666666666666666,,TraditionalBatch,,,0,0
153,0.5,,TraditionalBatch,,,0,1
154,0.6,,TraditionalBatch,,,0,0
155,0.6666666666666666,,TraditionalBatch,,,0,0
156,0.7142857142857143,,TraditionalBatch,,,0,0
157,0.75,,TraditionalBatch,,,0,0
158,0.6666666666666666,,TraditionalBatch,,,0,1
159,0.6,,TraditionalBatch,,,0,1
160,0.6363636363636364,,TraditionalBatch,,,0,0
161,0.5833333333333334,,TraditionalBatch,,,0,1
162,0.6153846153846154,,TraditionalBatch,,,0,0
163,0.6428571428571429,,TraditionalBatch,,,0,0
164,0.6,,TraditionalBatch,,,0,1
165,0.625,,TraditionalBatch,,,0,0
166,0.6470588235294118,,TraditionalBatch,,,0,0
167,0.6111111111111112,,TraditionalBatch,,,0,1
168,0.5789473684210527,,TraditionalBatch,,,0,1
169,0.55,,TraditionalBatch,,,0,1
170,0.5238095238095238,,TraditionalBatch,,,0,1
171,0.5,,TraditionalBatch,,,1,0
172,0.5217391304347826,,TraditionalBatch,,,0,0
173,0.5,,TraditionalBatch,,,0,1
174,0.48,,TraditionalBatch,,,0,1
175,0.46153846153846156,,TraditionalBatch,,,0,1
176,0.4444444444444444,,TraditionalBatch,,,0,1
177,0.42857142857142855,,TraditionalBatch,,,0,1
178,0.41379310344827586,,TraditionalBatch,,,1,0
179,0.43333333333333335,,TraditionalBatch,,,0,0
180,0.41935483870967744,,TraditionalBatch,,,0,1
181,0.4375,,TraditionalBatch,,,0,0
182,0.45454545454545453,,TraditionalBatch,,,0,0
183,0.4411764705882353,,TraditionalBatch,,,0,1
184,0.45714285714285713,,TraditionalBatch,,,0,0
185,0.4444444444444444,,TraditionalBatch,,,0,1
186,0.43243243243243246,,TraditionalBatch,,,0,1
187,0.42105263157894735,,TraditionalBatch,,,0,1
188,0.4358974358974359,,TraditionalBatch,,,0,0
189,0.425,,TraditionalBatch,,,0,1
190,0.43902439024390244,,TraditionalBatch,,,0,0
191,0.42857142857142855,,TraditionalBatch,,,0,1
192,0.4186046511627907,,TraditionalBatch,,,0,1
193,0.4090909090909091,,TraditionalBatch,,,0,1
194,0.4,,TraditionalBatch,,,1,0
195,0.391304347826087,,TraditionalBatch,,,1,0
196,0.3829787234042553,,TraditionalBatch,,,0,1
197,0.375,,TraditionalBatch,,,0,1
198,0.3877551020408163,,TraditionalBatch,,,0,0
199,0.38,,TraditionalBatch,,,1,0
200,0.37254901960784315,,TraditionalBatch,,,0,1
201,0.36538461538461536,,TraditionalBatch,,,1,0
202,0.3584905660377358,,TraditionalBatch,,,0,1
203,0.37037037037037035,,TraditionalBatch,,,0,0
204,0.36363636363636365,,TraditionalBatch,,,0,1
205,0.375,,TraditionalBatch,,,0,0
206,0.38596491228070173,,TraditionalBatch,,,0,0
207,0.39655172413793105,,TraditionalBatch,,,0,0
208,0.4067796610169492,,TraditionalBatch,,,0,0
209,0.4,,TraditionalBatch,,,0,1
210,0.4098360655737705,,TraditionalBatch,,,0,0
211,0.41935483870967744,,TraditionalBatch,,,0,0
212,0.42857142857142855,,TraditionalBatch,,,0,0
213,0.4375,,TraditionalBatch,,,0,0
214,0.4307692307692308,,TraditionalBatch,,,0,1
215,0.4393939393939394,,TraditionalBatch,,,0,0
216,0.43283582089552236,,TraditionalBatch,,,0,1
217,0.4264705882352941,,TraditionalBatch,,,0,1
218,0.43478260869565216,,TraditionalBatch,,,0,0
219,0.42857142857142855,,TraditionalBatch,,,0,1
220,0.43661971830985913,,TraditionalBatch,,,0,0
221,0.4305555555555556,,TraditionalBatch,,,0,1
222,0.4383561643835616,,TraditionalBatch,,,0,0
223,0.44594594594594594,,TraditionalBatch,,,0,0
224,0.4533333333333333,,TraditionalBatch,,,0,0
225,0.4605263157894737,,TraditionalBatch,,,0,0
226,0.45454545454545453,,TraditionalBatch,,,0,1
227,0.46153846153846156,,TraditionalBatch,,,0,0
228,0.45569620253164556,,TraditionalBatch,,,0,1
229,0.4625,,TraditionalBatch,,,0,0
230,0.4567901234567901,,TraditionalBatch,,,0,1
231,0.4634146341463415,,TraditionalBatch,,,0,0
232,0.46987951807228917,,TraditionalBatch,,,0,0
233,0.47619047619047616,,TraditionalBatch,,,0,0
234,0.4823529411764706,,TraditionalBatch,,,0,0
235,0.4883720930232558,,TraditionalBatch,,,0,0
236,0.4827586206896552,,TraditionalBatch,,,0,1
237,0.4772727272727273,,TraditionalBatch,,,0,1
238,0.47191011235955055,,TraditionalBatch,,,0,1
239,0.4666666666666667,,TraditionalBatch,,,0,1
240,0.46153846153846156,,TraditionalBatch,,,0,1
241,0.4673913043478261,,TraditionalBatch,,,0,0
242,0.4731182795698925,,TraditionalBatch,,,0,0
243,0.4787234042553192,,TraditionalBatch,,,0,0
244,0.47368421052631576,,TraditionalBatch,,,0,1
245,0.4791666666666667,,TraditionalBatch,,,0,0
246,0.4845360824742268,,TraditionalBatch,,,0,0
247,0.4897959183673469,,TraditionalBatch,,,0,0
248,0.48484848484848486,,TraditionalBatch,,,0,1
249,0.49,,TraditionalBatch,,,0,0
250,0.48514851485148514,,TraditionalBatch,,,0,1
251,0.4803921568627451,,TraditionalBatch,,,0,1
252,0.4854368932038835,,TraditionalBatch,,,0,0
253,0.4807692307692308,,TraditionalBatch,,,0,1
254,0.47619047619047616,,TraditionalBatch,,,0,1
255,0.4811320754716981,,TraditionalBatch,,,0,0
256,0.4766355140186916,,TraditionalBatch,,,0,1
257,0.48148148148148145,,TraditionalBatch,,,0,0
258,0.48623853211009177,,TraditionalBatch,,,0,0
259,0.4909090909090909,,TraditionalBatch,,,0,0
260,0.4864864864864865,,TraditionalBatch,,,0,1
261,0.49107142857142855,,TraditionalBatch,,,0,0
262,0.49557522123893805,,TraditionalBatch,,,0,0
263,0.5,,TraditionalBatch,,,0,0
264,0.4956521739130435,,TraditionalBatch,,,0,1
265,0.49137931034482757,,TraditionalBatch,,,0,1
266,0.48717948717948717,,TraditionalBatch,,,0,1
267,0.4830508474576271,,TraditionalBatch,,,0,1
268,0.4789915966386555,,TraditionalBatch,,,0,1
269,0.475,,TraditionalBatch,,,0,1
270,0.47107438016528924,,TraditionalBatch,,,0,1
271,0.4672131147540984,,TraditionalBatch,,,0,1
272,0.4634146341463415,,TraditionalBatch,,,0,1
273,0.46774193548387094,,TraditionalBatch,,,0,0
274,0.472,,TraditionalBatch,,,0,0
275,0.47619047619047616,,TraditionalBatch,,,0,0
276,0.48031496062992124,,TraditionalBatch,,,0,0
277,0.484375,,TraditionalBatch,,,0,0
278,0.4883720930232558,,TraditionalBatch,,,0,0
279,0.4846153846153846,,TraditionalBatch,,,0,1
280,0.48854961832061067,,TraditionalBatch,,,0,0
281,0.49242424242424243,,TraditionalBatch,,,0,0
282,0.49624060150375937,,TraditionalBatch,,,0,0
283,0.5,,TraditionalBatch,,,0,0
284,0.5037037037037037,,TraditionalBatch,,,0,0
285,0.5,,TraditionalBatch,,,0,1
286,0.49635036496350365,,TraditionalBatch,,,0,1
287,0.4927536231884058,,TraditionalBatch,,,0,1
288,0.4892086330935252,,TraditionalBatch,,,0,1
289,0.4857142857142857,,TraditionalBatch,,,0,1
290,0.48226950354609927,,TraditionalBatch,,,0,1
291,0.4788732394366197,,TraditionalBatch,,,0,1
292,0.4825174825174825,,TraditionalBatch,,,0,0
293,0.4861111111111111,,TraditionalBatch,,,0,0
294,0.4896551724137931,,TraditionalBatch,,,0,0
295,0.4931506849315068,,TraditionalBatch,,,0,0
296,0.4897959183673469,,TraditionalBatch,,,0,1
297,0.49324324324324326,,TraditionalBatch,,,0,0
298,0.4899328859060403,,TraditionalBatch,,,0,1
299,0.49333333333333335,,TraditionalBatch,,,0,0
300,0.4900662251655629,,TraditionalBatch,,,0,1
301,0.4934210526315789,,TraditionalBatch,,,0,0
302,0.49019607843137253,,TraditionalBatch,,,0,1
303,0.4935064935064935,,TraditionalBatch,,,0,0
304,0.4967741935483871,,TraditionalBatch,,,0,0
305,0.5,,TraditionalBatch,,,0,0
306,0.4968152866242038,,TraditionalBatch,,,0,1
307,0.4936708860759494,,TraditionalBatch,,,0,1
308,0.49056603773584906,,TraditionalBatch,,,0,1
309,0.4875,,TraditionalBatch,,,0,1
310,0.4906832298136646,,TraditionalBatch,,,0,0
311,0.4876543209876543,,TraditionalBatch,,,0,1
312,0.48466257668711654,,TraditionalBatch,,,0,1
313,0.4878048780487805,,TraditionalBatch,,,0,0
314,0.4909090909090909,,TraditionalBatch,,,0,0
315,0.4879518072289157,,TraditionalBatch,,,0,1
316,0.48502994011976047,,TraditionalBatch,,,0,1
317,0.48214285714285715,,TraditionalBatch,,,0,1
318,0.47928994082840237,,TraditionalBatch,,,0,1
319,0.4823529411764706,,TraditionalBatch,,,0,0
320,0.4853801169590643,,TraditionalBatch,,,0,0
321,0.48255813953488375,,TraditionalBatch,,,0,1
322,0.4797687861271676,,TraditionalBatch,,,0,1
323,0.47701149425287354,,TraditionalBatch,,,0,1
324,0.4742857142857143,,TraditionalBatch,,,0,1
325,0.4772727272727273,,TraditionalBatch,,,0,0
326,0.480225988700565,,TraditionalBatch,,,0,0
327,0.47752808988764045,,TraditionalBatch,,,0,1
328,0.48044692737430167,,TraditionalBatch,,,0,0
329,0.48333333333333334,,TraditionalBatch,,,0,0
330,0.4861878453038674,,TraditionalBatch,,,0,0
331,0.489010989010989,,TraditionalBatch,,,0,0
332,0.4918032786885246,,TraditionalBatch,,,0,0
333,0.4891304347826087,,TraditionalBatch,,,0,1
334,0.4864864864864865,,TraditionalBatch,,,0,1
335,0.489247311827957,,TraditionalBatch,,,0,0
336,0.4919786096256685,,TraditionalBatch,,,0,0
337,0.48936170212765956,,TraditionalBatch,,,0,1
338,0.48677248677248675,,TraditionalBatch,,,0,1
339,0.4842105263157895,,TraditionalBatch,,,0,1
340,0.4816753926701571,,TraditionalBatch,,,0,1
341,0.4791666666666667,,TraditionalBatch,,,0,1
342,0.47668393782383417,,TraditionalBatch,,,0,1
343,0.4793814432989691,,TraditionalBatch,,,0,0
344,0.48205128205128206,,TraditionalBatch,,,0,0
345,0.47959183673469385,,TraditionalBatch,,,0,1
346,0.48223350253807107,,TraditionalBatch,,,1,1
347,0.48484848484848486,,TraditionalBatch,,,0,0
348,0.4824120603015075,,TraditionalBatch,,,0,1
349,0.48,,TraditionalBatch,,,0,1
350,0.48258706467661694,,TraditionalBatch,,,0,0
351,0.48514851485148514,,TraditionalBatch,,,0,0
352,0.4876847290640394,,TraditionalBatch,,,0,0
353,0.49019607843137253,,TraditionalBatch,,,0,0
354,0.4878048780487805,,TraditionalBatch,,,0,1
355,0.49029126213592233,,TraditionalBatch,,,0,0
356,0.48792270531400966,,TraditionalBatch,,,0,1
357,0.49038461538461536,,TraditionalBatch,,,0,0
358,0.49282296650717705,,TraditionalBatch,,,0,0
359,0.49047619047619045,,TraditionalBatch,,,0,1
360,0.4928909952606635,,TraditionalBatch,,,0,0
361,0.49056603773584906,,TraditionalBatch,,,0,1
362,0.48826291079812206,,TraditionalBatch,,,0,1
363,0.49065420560747663,,TraditionalBatch,,,0,0
364,0.4883720930232558,,TraditionalBatch,,,0,1
365,0.4861111111111111,,TraditionalBatch,,,0,1
366,0.48847926267281105,,TraditionalBatch,,,0,0
367,0.48623853211009177,,TraditionalBatch,,,0,1
368,0.4840182648401826,,TraditionalBatch,,,0,1
369,0.4818181818181818,,TraditionalBatch,,,0,1
370,0.4841628959276018,,TraditionalBatch,,,0,0
371,0.481981981981982,,TraditionalBatch,,,0,1
372,0.484304932735426,,TraditionalBatch,,,0,0
373,0.48660714285714285,,TraditionalBatch,,,0,0
374,0.48444444444444446,,TraditionalBatch,,,0,1
375,0.48672566371681414,,TraditionalBatch,,,0,0
376,0.4889867841409692,,TraditionalBatch,,,0,0
377,0.4868421052631579,,TraditionalBatch,,,0,1
378,0.4890829694323144,,TraditionalBatch,,,0,0
379,0.49130434782608695,,TraditionalBatch,,,0,0
380,0.4935064935064935,,TraditionalBatch,,,1,1
381,0.4956896551724138,,TraditionalBatch,,,0,0
382,0.49356223175965663,,TraditionalBatch,,,0,1
383,0.49145299145299143,,TraditionalBatch,,,0,1
384,0.48936170212765956,,TraditionalBatch,,,0,1
385,0.4915254237288136,,TraditionalBatch,,,0,0
386,0.48945147679324896,,TraditionalBatch,,,0,1
387,0.48739495798319327,,TraditionalBatch,,,0,1
388,0.4895397489539749,,TraditionalBatch,,,0,0
389,0.4875,,TraditionalBatch,,,0,1
390,0.4896265560165975,,TraditionalBatch,,,0,0
391,0.49173553719008267,,TraditionalBatch,,,0,0
392,0.49382716049382713,,TraditionalBatch,,,0,0
393,0.4959016393442623,,TraditionalBatch,,,0,0
394,0.49795918367346936,,TraditionalBatch,,,0,0
395,0.5,,TraditionalBatch,,,0,0
396,0.5020242914979757,,TraditionalBatch,,,0,0
397,0.5040322580645161,,TraditionalBatch,,,0,0
398,0.5060240963855421,,TraditionalBatch,,,0,0
399,0.508,,TraditionalBatch,,,0,0
400,0.5099601593625498,,TraditionalBatch,,,0,0
401,0.5079365079365079,,TraditionalBatch,,,0,1
402,0.5098814229249012,,TraditionalBatch,,,0,0
403,0.5078740157480315,,TraditionalBatch,,,0,1
404,0.5058823529411764,,TraditionalBatch,,,0,1
405,0.5078125,,TraditionalBatch,,,0,0
406,0.5097276264591439,,TraditionalBatch,,,0,0
407,0.5116279069767442,,TraditionalBatch,,,0,0
408,0.5135135135135135,,TraditionalBatch,,,0,0
409,0.5115384615384615,,TraditionalBatch,,,0,1
410,0.5134099616858238,,TraditionalBatch,,,0,0
411,0.5152671755725191,,TraditionalBatch,,,0,0
412,0.5171102661596958,,TraditionalBatch,,,0,0
413,0.5189393939393939,,TraditionalBatch,,,0,0
414,0.5207547169811321,,TraditionalBatch,,,0,0
415,0.518796992481203,,TraditionalBatch,,,0,1
416,0.5168539325842697,,TraditionalBatch,,,0,1
417,0.5149253731343284,,TraditionalBatch,,,0,1
418,0.516728624535316,,TraditionalBatch,,,0,0
419,0.5148148148148148,,TraditionalBatch,,,0,1
420,0.5129151291512916,,TraditionalBatch,,,0,1
421,0.5110294117647058,,TraditionalBatch,,,0,1
422,0.5091575091575091,,TraditionalBatch,,,0,1
423,0.5109489051094891,,TraditionalBatch,,,0,0
424,0.509090909090909,,TraditionalBatch,,,0,1
425,0.5072463768115942,,TraditionalBatch,,,0,1
426,0.5090252707581228,,TraditionalBatch,,,0,0
427,0.5071942446043165,,TraditionalBatch,,,0,1
428,0.5089605734767025,,TraditionalBatch,,,0,0
429,0.5071428571428571,,TraditionalBatch,,,0,1
430,0.5088967971530249,,TraditionalBatch,,,0,0
431,0.5106382978723404,,TraditionalBatch,,,0,0
432,0.5123674911660777,,TraditionalBatch,,,0,0
433,0.5140845070422535,,TraditionalBatch,,,0,0
434,0.512280701754386,,TraditionalBatch,,,0,1
435,0.5104895104895105,,TraditionalBatch,,,0,1
436,0.5121951219512195,,TraditionalBatch,,,0,0
437,0.5104166666666666,,TraditionalBatch,,,0,1
438,0.5121107266435986,,TraditionalBatch,,,1,1
439,0.5137931034482759,,TraditionalBatch,,,0,0
440,0.5154639175257731,,TraditionalBatch,,,0,0
441,0.5136986301369864,,TraditionalBatch,,,0,1
442,0.515358361774744,,TraditionalBatch,,,0,0
443,0.5170068027210885,,TraditionalBatch,,,0,0
444,0.5152542372881356,,TraditionalBatch,,,0,1
445,0.5168918918918919,,TraditionalBatch,,,0,0
446,0.5151515151515151,,TraditionalBatch,,,0,1
447,0.5167785234899329,,TraditionalBatch,,,0,0
448,0.5150501672240803,,TraditionalBatch,,,0,1
449,0.5166666666666667,,TraditionalBatch,,,0,0
450,0.5182724252491694,,TraditionalBatch,,,0,0
451,0.5198675496688742,,TraditionalBatch,,,0,0
452,0.5214521452145214,,TraditionalBatch,,,0,0
453,0.5197368421052632,,TraditionalBatch,,,0,1
454,0.521311475409836,,TraditionalBatch,,,0,0
455,0.5228758169934641,,TraditionalBatch,,,0,0
456,0.5244299674267101,,TraditionalBatch,,,0,0
457,0.5227272727272727,,TraditionalBatch,,,0,1
458,0.5242718446601942,,TraditionalBatch,,,0,0
459,0.5258064516129032,,TraditionalBatch,,,0,0
460,0.5273311897106109,,TraditionalBatch,,,0,0
461,0.5256410256410257,,TraditionalBatch,,,0,1
462,0.5239616613418531,,TraditionalBatch,,,0,1
463,0.5254777070063694,,TraditionalBatch,,,0,0
464,0.5238095238095238,,TraditionalBatch,,,0,1
465,0.5221518987341772,,TraditionalBatch,,,0,1
466,0.5236593059936908,,TraditionalBatch,,,0,0
467,0.5220125786163522,,TraditionalBatch,,,0,1
468,0.5203761755485894,,TraditionalBatch,,,0,1
469,0.521875,,TraditionalBatch,,,0,0
