round,Accuracy,Cluster,Classifier,X1,X2,Label,GT_Label
0,0.0,,Traditional,,,0,1
1,0.5,,Traditional,,,0,0
2,0.6666666666666666,,Traditional,,,2,2
3,0.5,,Traditional,,,1,0
4,0.6,,Traditional,,,2,2
5,0.6666666666666666,,Traditional,,,0,0
6,0.5714285714285714,,Traditional,,,1,0
7,0.625,,Traditional,,,1,1
8,0.6666666666666666,,Traditional,,,1,1
9,0.7,,Traditional,,,0,0
10,0.7272727272727273,,Traditional,,,1,1
11,0.75,,Traditional,,,2,2
12,0.7692307692307693,,Traditional,,,0,0
13,0.7857142857142857,,Traditional,,,0,0
14,0.8,,Traditional,,,0,0
15,0.8125,,Traditional,,,1,1
16,0.7647058823529411,,Traditional,,,1,0
17,0.7222222222222222,,Traditional,,,1,0
18,0.7368421052631579,,Traditional,,,2,2
19,0.75,,Traditional,,,0,0
20,0.7619047619047619,,Traditional,,,2,2
21,0.7727272727272727,,Traditional,,,0,0
22,0.782608695652174,,Traditional,,,1,1
23,0.7916666666666666,,Traditional,,,1,1
24,0.8,,Traditional,,,2,2
25,0.8076923076923077,,Traditional,,,1,1
26,0.8148148148148148,,Traditional,,,1,1
27,0.8214285714285714,,Traditional,,,0,0
28,0.8275862068965517,,Traditional,,,2,2
29,0.8333333333333334,,Traditional,,,0,0
30,0.8387096774193549,,Traditional,,,2,2
31,0.84375,,Traditional,,,1,1
32,0.8484848484848485,,Traditional,,,1,1
33,0.8529411764705882,,Traditional,,,1,1
34,0.8571428571428571,,Traditional,,,0,0
35,0.8611111111111112,,Traditional,,,1,1
36,0.8648648648648649,,Traditional,,,0,0
37,0.868421052631579,,Traditional,,,2,2
38,0.8717948717948718,,Traditional,,,1,1
39,0.875,,Traditional,,,2,2
40,0.8780487804878049,,Traditional,,,1,1
41,0.8809523809523809,,Traditional,,,1,1
42,0.8837209302325582,,Traditional,,,1,1
43,0.8863636363636364,,Traditional,,,2,2
44,0.8666666666666667,,Traditional,,,0,1
45,0.8695652173913043,,Traditional,,,1,1
46,0.8723404255319149,,Traditional,,,1,1
47,0.875,,Traditional,,,1,1
48,0.8775510204081632,,Traditional,,,1,1
49,0.88,,Traditional,,,0,0
50,0.8823529411764706,,Traditional,,,1,1
51,0.8846153846153846,,Traditional,,,0,0
52,0.8867924528301887,,Traditional,,,1,1
53,0.8888888888888888,,Traditional,,,0,0
54,0.8909090909090909,,Traditional,,,1,1
55,0.8928571428571429,,Traditional,,,2,2
56,0.8947368421052632,,Traditional,,,1,1
57,0.896551724137931,,Traditional,,,1,1
58,0.8983050847457628,,Traditional,,,1,1
59,0.8833333333333333,,Traditional,,,0,1
60,0.8852459016393442,,Traditional,,,2,2
61,0.8870967741935484,,Traditional,,,1,1
62,0.873015873015873,,Traditional,,,1,0
63,0.875,,Traditional,,,0,0
64,0.8769230769230769,,Traditional,,,2,2
65,0.8787878787878788,,Traditional,,,1,1
66,0.8805970149253731,,Traditional,,,1,1
67,0.8823529411764706,,Traditional,,,2,2
68,0.8840579710144928,,Traditional,,,0,0
69,0.8857142857142857,,Traditional,,,1,1
