round,Accuracy,Cluster,Classifier,X1,X2,Label,GT_Label
0,1.0,,Traditional,,,1,1
1,1.0,,Traditional,,,0,0
2,1.0,,Traditional,,,2,2
3,1.0,,Traditional,,,0,0
4,1.0,,Traditional,,,2,2
5,1.0,,Traditional,,,0,0
6,1.0,,Traditional,,,0,0
7,1.0,,Traditional,,,1,1
8,1.0,,Traditional,,,1,1
9,1.0,,Traditional,,,0,0
10,0.9090909090909091,,Traditional,,,1,0
11,0.9166666666666666,,Traditional,,,2,2
12,0.9230769230769231,,Traditional,,,0,0
13,0.9285714285714286,,Traditional,,,0,0
14,0.8666666666666667,,Traditional,,,0,1
15,0.875,,Traditional,,,1,1
16,0.8823529411764706,,Traditional,,,1,1
17,0.8888888888888888,,Traditional,,,1,1
18,0.8947368421052632,,Traditional,,,2,2
19,0.9,,Traditional,,,0,0
20,0.9047619047619048,,Traditional,,,2,2
21,0.9090909090909091,,Traditional,,,1,1
22,0.8695652173913043,,Traditional,,,1,0
23,0.875,,Traditional,,,1,1
24,0.88,,Traditional,,,2,2
25,0.8846153846153846,,Traditional,,,0,0
26,0.8888888888888888,,Traditional,,,0,0
27,0.8928571428571429,,Traditional,,,0,0
28,0.896551724137931,,Traditional,,,2,2
29,0.8666666666666667,,Traditional,,,0,1
30,0.8709677419354839,,Traditional,,,2,2
31,0.875,,Traditional,,,1,1
32,0.8787878787878788,,Traditional,,,0,0
33,0.8823529411764706,,Traditional,,,1,1
34,0.8857142857142857,,Traditional,,,1,1
35,0.8888888888888888,,Traditional,,,0,0
36,0.8918918918918919,,Traditional,,,0,0
37,0.8947368421052632,,Traditional,,,2,2
38,0.8974358974358975,,Traditional,,,1,1
39,0.9,,Traditional,,,2,2
40,0.9024390243902439,,Traditional,,,1,1
41,0.9047619047619048,,Traditional,,,0,0
42,0.9069767441860465,,Traditional,,,1,1
43,0.9090909090909091,,Traditional,,,2,2
44,0.9111111111111111,,Traditional,,,1,1
45,0.8913043478260869,,Traditional,,,1,0
46,0.8936170212765957,,Traditional,,,0,0
47,0.8958333333333334,,Traditional,,,0,0
48,0.8775510204081632,,Traditional,,,1,0
49,0.88,,Traditional,,,0,0
50,0.8823529411764706,,Traditional,,,1,1
51,0.8846153846153846,,Traditional,,,0,0
52,0.8867924528301887,,Traditional,,,0,0
53,0.8888888888888888,,Traditional,,,0,0
54,0.8909090909090909,,Traditional,,,1,1
55,0.8928571428571429,,Traditional,,,2,2
56,0.8947368421052632,,Traditional,,,1,1
57,0.896551724137931,,Traditional,,,1,1
58,0.8983050847457628,,Traditional,,,1,1
59,0.9,,Traditional,,,0,0
60,0.9016393442622951,,Traditional,,,2,2
61,0.9032258064516129,,Traditional,,,0,0
62,0.8888888888888888,,Traditional,,,1,0
63,0.890625,,Traditional,,,0,0
64,0.8923076923076924,,Traditional,,,2,2
65,0.8939393939393939,,Traditional,,,1,1
66,0.8955223880597015,,Traditional,,,1,1
67,0.8970588235294118,,Traditional,,,2,2
68,0.8985507246376812,,Traditional,,,0,0
69,0.9,,Traditional,,,1,1
70,0.9014084507042254,,Traditional,,,0,0
71,0.9027777777777778,,Traditional,,,0,0
72,0.8904109589041096,,Traditional,,,0,1
73,0.8918918918918919,,Traditional,,,0,0
74,0.8933333333333333,,Traditional,,,1,1
75,0.8947368421052632,,Traditional,,,1,1
76,0.8961038961038961,,Traditional,,,0,0
77,0.8974358974358975,,Traditional,,,1,1
78,0.8987341772151899,,Traditional,,,2,2
79,0.9,,Traditional,,,2,2
80,0.9012345679012346,,Traditional,,,2,2
81,0.9024390243902439,,Traditional,,,1,1
82,0.9036144578313253,,Traditional,,,1,1
83,0.9047619047619048,,Traditional,,,1,1
84,0.9058823529411765,,Traditional,,,1,1
85,0.9069767441860465,,Traditional,,,0,0
86,0.9080459770114943,,Traditional,,,2,2
87,0.9090909090909091,,Traditional,,,0,0
88,0.9101123595505618,,Traditional,,,0,0
89,0.9111111111111111,,Traditional,,,0,0
90,0.9010989010989011,,Traditional,,,2,1
91,0.9021739130434783,,Traditional,,,1,1
92,0.8924731182795699,,Traditional,,,1,0
93,0.8936170212765957,,Traditional,,,0,0
94,0.8947368421052632,,Traditional,,,2,2
95,0.8958333333333334,,Traditional,,,1,1
96,0.8969072164948454,,Traditional,,,2,2
97,0.8979591836734694,,Traditional,,,0,0
98,0.898989898989899,,Traditional,,,1,1
99,0.9,,Traditional,,,0,0
100,0.900990099009901,,Traditional,,,1,1
101,0.9019607843137255,,Traditional,,,2,2
102,0.9029126213592233,,Traditional,,,0,0
103,0.9038461538461539,,Traditional,,,0,0
104,0.9047619047619048,,Traditional,,,0,0
105,0.9056603773584906,,Traditional,,,2,2
106,0.9065420560747663,,Traditional,,,2,2
107,0.9074074074074074,,Traditional,,,1,1
108,0.908256880733945,,Traditional,,,2,2
109,0.9090909090909091,,Traditional,,,2,2
110,0.9099099099099099,,Traditional,,,2,2
111,0.9017857142857143,,Traditional,,,1,0
112,0.9026548672566371,,Traditional,,,0,0
113,0.8947368421052632,,Traditional,,,2,1
114,0.8869565217391304,,Traditional,,,1,0
115,0.8879310344827587,,Traditional,,,1,1
