round,Accuracy,Cluster,Classifier,X1,X2,Label,GT_Label
150,0.48142935033405043,,TraditionalBatch,,,0,1
151,0.4814328654537967,,TraditionalBatch,,,0,1
152,0.4814398963338787,,TraditionalBatch,,,0,0
153,0.4814504442553469,,TraditionalBatch,,,0,1
154,0.4814631727542006,,TraditionalBatch,,,0,1
155,0.48148199245325557,,TraditionalBatch,,,0,0
156,0.4815016599666617,,TraditionalBatch,,,0,1
157,0.48152613959898155,,TraditionalBatch,,,0,0
158,0.4815541497747173,,TraditionalBatch,,,0,1
159,0.4815856953948725,,TraditionalBatch,,,0,1
160,0.48162078199360625,,TraditionalBatch,,,0,1
161,0.48166070157900803,,TraditionalBatch,,,0,1
162,0.481702838659223,,TraditionalBatch,,,0,1
163,0.48174853897809033,,TraditionalBatch,,,0,1
164,0.481797757980071,,TraditionalBatch,,,0,0
165,0.48185050421128867,,TraditionalBatch,,,0,0
166,0.4819068393173817,,TraditionalBatch,,,0,0
167,0.4819667730234195,,TraditionalBatch,,,0,0
168,0.48203026313141184,,TraditionalBatch,,,0,1
169,0.4820986063775491,,TraditionalBatch,,,0,0
170,0.4821692444569812,,TraditionalBatch,,,0,0
171,0.48224352774030677,,TraditionalBatch,,,0,0
172,0.4823214688233326,,TraditionalBatch,,,0,1
173,0.48240174252369006,,TraditionalBatch,,,0,0
174,0.48248827070955447,,TraditionalBatch,,,0,0
175,0.4825758212009912,,TraditionalBatch,,,0,0
176,0.4826670310805865,,TraditionalBatch,,,0,0
177,0.4827631995667555,,TraditionalBatch,,,0,0
178,0.482861718262221,,TraditionalBatch,,,0,0
179,0.48296656411192374,,TraditionalBatch,,,0,1
180,0.48307384582861235,,TraditionalBatch,,,0,1
181,0.4831862049826932,,TraditionalBatch,,,0,1
182,0.4833010371922975,,TraditionalBatch,,,0,1
183,0.4834196992403432,,TraditionalBatch,,,0,1
184,0.48354221007871817,,TraditionalBatch,,,0,1
185,0.4836685892076698,,TraditionalBatch,,,0,0
186,0.48379885666976796,,TraditionalBatch,,,0,0
187,0.48393303304368707,,TraditionalBatch,,,0,1
188,0.4840698010525518,,TraditionalBatch,,,0,1
189,0.4842104661622288,,TraditionalBatch,,,0,0
190,0.4843563868273669,,TraditionalBatch,,,0,1
191,0.48450629971944764,,TraditionalBatch,,,0,0
192,0.484660227849783,,TraditionalBatch,,,0,0
193,0.48481819471992504,,TraditionalBatch,,,0,1
194,0.48498151015612945,,TraditionalBatch,,,0,1
195,0.4851475763291077,,TraditionalBatch,,,0,0
196,0.48531775648322506,,TraditionalBatch,,,0,0
197,0.4854920759380488,,TraditionalBatch,,,0,1
198,0.48567184630720045,,TraditionalBatch,,,0,0
199,0.4858544715172314,,TraditionalBatch,,,0,0
