round,Accuracy,Cluster,Classifier,X1,X2,Label,GT_Label
150,0.6320544603857107,,TraditionalBatch,,,2,2
151,0.6320586680031214,,TraditionalBatch,,,0,0
152,0.6320670829269652,,TraditionalBatch,,,2,1
153,0.6320783661502312,,TraditionalBatch,,,2,2
154,0.6320951389604108,,TraditionalBatch,,,2,2
155,0.6321161142027825,,TraditionalBatch,,,0,0
156,0.6321399518682896,,TraditionalBatch,,,2,1
157,0.6321692722424921,,TraditionalBatch,,,2,2
158,0.6322040730115109,,TraditionalBatch,,,0,0
159,0.6322417292633074,,TraditionalBatch,,,2,1
160,0.6322835763842912,,TraditionalBatch,,,0,1
161,0.6323296110707995,,TraditionalBatch,,,0,0
162,0.6323798297161495,,TraditionalBatch,,,2,1
163,0.6324355142547484,,TraditionalBatch,,,2,1
164,0.6324940381918798,,TraditionalBatch,,,2,1
165,0.6325553969580715,,TraditionalBatch,,,0,0
166,0.6326222079115772,,TraditionalBatch,,,2,1
167,0.6326944658310993,,TraditionalBatch,,,2,1
168,0.6327695429185716,,TraditionalBatch,,,0,0
169,0.6328487716972502,,TraditionalBatch,,,0,1
170,0.6329321460246503,,TraditionalBatch,,,2,2
171,0.6330196594810369,,TraditionalBatch,,,2,2
172,0.6331113053728206,,TraditionalBatch,,,2,2
173,0.6332070241929866,,TraditionalBatch,,,2,1
174,0.6333068086425468,,TraditionalBatch,,,2,2
175,0.6334093652490915,,TraditionalBatch,,,0,0
176,0.6335173083430754,,TraditionalBatch,,,0,1
177,0.6336293438676597,,TraditionalBatch,,,2,2
178,0.6337454633552223,,TraditionalBatch,,,2,2
179,0.6338656580894775,,TraditionalBatch,,,2,2
180,0.6339899191098507,,TraditionalBatch,,,2,2
181,0.6341182372159778,,TraditionalBatch,,,0,0
182,0.6342505504291884,,TraditionalBatch,,,2,1
183,0.6343868490149722,,TraditionalBatch,,,0,0
184,0.6345284613298788,,TraditionalBatch,,,0,0
185,0.6346727548362032,,TraditionalBatch,,,2,1
186,0.6348210573872919,,TraditionalBatch,,,0,0
187,0.6349746440844837,,TraditionalBatch,,,2,1
188,0.635129543309748,,TraditionalBatch,,,2,2
189,0.6352896519150609,,TraditionalBatch,,,0,0
190,0.6354536725178193,,TraditionalBatch,,,2,1
191,0.6356216458635635,,TraditionalBatch,,,0,0
192,0.6357935599711951,,TraditionalBatch,,,2,1
193,0.6359694026812416,,TraditionalBatch,,,2,2
194,0.6361491091179177,,TraditionalBatch,,,2,2
195,0.6363326667120954,,TraditionalBatch,,,2,1
196,0.6365201152065173,,TraditionalBatch,,,0,0
197,0.6367114416432395,,TraditionalBatch,,,2,1
198,0.636906632911974,,TraditionalBatch,,,2,1
199,0.6371056232121891,,TraditionalBatch,,,2,1
200,0.6373070606908381,,TraditionalBatch,,,0,0
201,0.637514892279811,,TraditionalBatch,,,2,2
202,0.6377238575883598,,TraditionalBatch,,,2,1
203,0.6379379031510871,,TraditionalBatch,,,2,1
204,0.6381557288633716,,TraditionalBatch,,,2,2
205,0.6383773203439402,,TraditionalBatch,,,0,0
206,0.6386026630976457,,TraditionalBatch,,,2,2
207,0.6388317425203408,,TraditionalBatch,,,2,2
208,0.63906454390372,,TraditionalBatch,,,2,1
209,0.6392997140548601,,TraditionalBatch,,,2,2
210,0.6395398602911039,,TraditionalBatch,,,2,1
211,0.6397849675495653,,TraditionalBatch,,,0,0
212,0.6400323983917087,,TraditionalBatch,,,2,1
213,0.6402834759030118,,TraditionalBatch,,,0,0
214,0.6405381321640939,,TraditionalBatch,,,2,2
215,0.6407950132727805,,TraditionalBatch,,,2,1
216,0.6410567783384145,,TraditionalBatch,,,0,1
217,0.6413234115729626,,TraditionalBatch,,,0,0
218,0.641590936452787,,TraditionalBatch,,,2,1
219,0.6418632976077141,,TraditionalBatch,,,2,2
220,0.6421391930972311,,TraditionalBatch,,,2,2
