round,Accuracy,Cluster,Classifier,X1,X2,Label,GT_Label
150,0.0,,TraditionalBatch,,,0,2
151,0.0,,TraditionalBatch,,,0,2
152,0.0,,TraditionalBatch,,,0,2
153,0.0,,TraditionalBatch,,,0,1
154,0.2,,TraditionalBatch,,,0,0
155,0.16666666666666666,,TraditionalBatch,,,0,1
156,0.2857142857142857,,TraditionalBatch,,,0,0
157,0.25,,TraditionalBatch,,,0,1
158,0.2222222222222222,,TraditionalBatch,,,0,2
159,0.2,,TraditionalBatch,,,0,1
160,0.18181818181818182,,TraditionalBatch,,,0,1
161,0.16666666666666666,,TraditionalBatch,,,0,1
162,0.15384615384615385,,TraditionalBatch,,,0,2
163,0.14285714285714285,,TraditionalBatch,,,0,1
164,0.13333333333333333,,TraditionalBatch,,,0,2
165,0.125,,TraditionalBatch,,,0,1
166,0.11764705882352941,,TraditionalBatch,,,0,2
167,0.16666666666666666,,TraditionalBatch,,,0,0
168,0.21052631578947367,,TraditionalBatch,,,0,0
169,0.2,,TraditionalBatch,,,0,2
170,0.19047619047619047,,TraditionalBatch,,,0,1
171,0.18181818181818182,,TraditionalBatch,,,0,2
172,0.21739130434782608,,TraditionalBatch,,,0,0
173,0.25,,TraditionalBatch,,,0,0
174,0.24,,TraditionalBatch,,,0,1
175,0.2692307692307692,,TraditionalBatch,,,0,0
176,0.2962962962962963,,TraditionalBatch,,,0,0
177,0.2857142857142857,,TraditionalBatch,,,0,1
178,0.3103448275862069,,TraditionalBatch,,,0,0
179,0.3333333333333333,,TraditionalBatch,,,0,0
180,0.3548387096774194,,TraditionalBatch,,,0,0
181,0.375,,TraditionalBatch,,,0,0
182,0.3939393939393939,,TraditionalBatch,,,0,0
183,0.38235294117647056,,TraditionalBatch,,,1,2
184,0.4,,TraditionalBatch,,,0,0
185,0.4166666666666667,,TraditionalBatch,,,1,1
186,0.43243243243243246,,TraditionalBatch,,,0,0
187,0.4473684210526316,,TraditionalBatch,,,0,0
188,0.46153846153846156,,TraditionalBatch,,,0,0
189,0.475,,TraditionalBatch,,,1,1
190,0.4634146341463415,,TraditionalBatch,,,1,2
191,0.4523809523809524,,TraditionalBatch,,,1,2
192,0.4418604651162791,,TraditionalBatch,,,0,1
193,0.45454545454545453,,TraditionalBatch,,,0,0
194,0.4666666666666667,,TraditionalBatch,,,0,0
195,0.45652173913043476,,TraditionalBatch,,,0,1
196,0.44680851063829785,,TraditionalBatch,,,1,2
197,0.4583333333333333,,TraditionalBatch,,,1,1
198,0.4489795918367347,,TraditionalBatch,,,0,1
199,0.46,,TraditionalBatch,,,0,0
200,0.47058823529411764,,TraditionalBatch,,,1,1
201,0.46153846153846156,,TraditionalBatch,,,1,2
202,0.4716981132075472,,TraditionalBatch,,,0,0
203,0.48148148148148145,,TraditionalBatch,,,0,0
204,0.4727272727272727,,TraditionalBatch,,,1,2
205,0.4642857142857143,,TraditionalBatch,,,1,2
206,0.47368421052631576,,TraditionalBatch,,,0,0
207,0.46551724137931033,,TraditionalBatch,,,1,2
208,0.4576271186440678,,TraditionalBatch,,,1,2
209,0.4666666666666667,,TraditionalBatch,,,0,0
210,0.47540983606557374,,TraditionalBatch,,,0,0
211,0.46774193548387094,,TraditionalBatch,,,1,2
212,0.4603174603174603,,TraditionalBatch,,,1,2
213,0.46875,,TraditionalBatch,,,1,1
214,0.47692307692307695,,TraditionalBatch,,,0,0
215,0.4696969696969697,,TraditionalBatch,,,1,2
216,0.4626865671641791,,TraditionalBatch,,,1,2
217,0.47058823529411764,,TraditionalBatch,,,0,0
218,0.4782608695652174,,TraditionalBatch,,,0,0
219,0.4714285714285714,,TraditionalBatch,,,1,2
220,0.4647887323943662,,TraditionalBatch,,,1,2
221,0.4722222222222222,,TraditionalBatch,,,1,1
222,0.4794520547945205,,TraditionalBatch,,,0,0
223,0.4864864864864865,,TraditionalBatch,,,0,0
224,0.49333333333333335,,TraditionalBatch,,,0,0
225,0.5,,TraditionalBatch,,,1,1
226,0.4935064935064935,,TraditionalBatch,,,1,2
227,0.5,,TraditionalBatch,,,1,1
228,0.4936708860759494,,TraditionalBatch,,,1,2
229,0.4875,,TraditionalBatch,,,0,1
230,0.48148148148148145,,TraditionalBatch,,,1,2
231,0.4878048780487805,,TraditionalBatch,,,1,1
232,0.4939759036144578,,TraditionalBatch,,,0,0
233,0.5,,TraditionalBatch,,,1,1
234,0.49411764705882355,,TraditionalBatch,,,1,2
235,0.4883720930232558,,TraditionalBatch,,,1,2
236,0.4942528735632184,,TraditionalBatch,,,0,0
237,0.5,,TraditionalBatch,,,0,0
238,0.5056179775280899,,TraditionalBatch,,,1,1
239,0.5111111111111111,,TraditionalBatch,,,0,0
240,0.5164835164835165,,TraditionalBatch,,,0,0
241,0.5217391304347826,,TraditionalBatch,,,1,1
242,0.5268817204301075,,TraditionalBatch,,,1,1
243,0.5212765957446809,,TraditionalBatch,,,1,2
244,0.5157894736842106,,TraditionalBatch,,,1,2
245,0.5208333333333334,,TraditionalBatch,,,1,1
246,0.5257731958762887,,TraditionalBatch,,,1,1
247,0.5306122448979592,,TraditionalBatch,,,0,0
248,0.5353535353535354,,TraditionalBatch,,,1,1
249,0.53,,TraditionalBatch,,,1,2
250,0.5346534653465347,,TraditionalBatch,,,0,0
251,0.5392156862745098,,TraditionalBatch,,,1,1
252,0.5436893203883495,,TraditionalBatch,,,0,0
253,0.5384615384615384,,TraditionalBatch,,,1,2
254,0.5428571428571428,,TraditionalBatch,,,1,1
255,0.5471698113207547,,TraditionalBatch,,,1,1
256,0.5514018691588785,,TraditionalBatch,,,0,0
257,0.5555555555555556,,TraditionalBatch,,,0,0
258,0.5504587155963303,,TraditionalBatch,,,1,2
259,0.5545454545454546,,TraditionalBatch,,,0,0
260,0.5495495495495496,,TraditionalBatch,,,1,2
261,0.5446428571428571,,TraditionalBatch,,,1,2
262,0.5486725663716814,,TraditionalBatch,,,0,0
263,0.543859649122807,,TraditionalBatch,,,1,2
264,0.5478260869565217,,TraditionalBatch,,,1,1
265,0.5517241379310345,,TraditionalBatch,,,1,1
266,0.5555555555555556,,TraditionalBatch,,,1,1
267,0.559322033898305,,TraditionalBatch,,,0,0
268,0.5630252100840336,,TraditionalBatch,,,0,0
269,0.5666666666666667,,TraditionalBatch,,,1,1
270,0.5702479338842975,,TraditionalBatch,,,0,0
271,0.5655737704918032,,TraditionalBatch,,,1,2
272,0.5609756097560976,,TraditionalBatch,,,1,2
273,0.5645161290322581,,TraditionalBatch,,,0,0
274,0.568,,TraditionalBatch,,,0,0
275,0.5714285714285714,,TraditionalBatch,,,0,0
276,0.5748031496062992,,TraditionalBatch,,,0,0
277,0.5703125,,TraditionalBatch,,,1,2
278,0.5736434108527132,,TraditionalBatch,,,0,0
279,0.5769230769230769,,TraditionalBatch,,,1,1
280,0.5801526717557252,,TraditionalBatch,,,1,1
281,0.5833333333333334,,TraditionalBatch,,,0,0
282,0.5864661654135338,,TraditionalBatch,,,0,0
283,0.5895522388059702,,TraditionalBatch,,,1,1
284,0.5925925925925926,,TraditionalBatch,,,1,1
285,0.5955882352941176,,TraditionalBatch,,,1,1
286,0.5985401459854015,,TraditionalBatch,,,0,0
287,0.5942028985507246,,TraditionalBatch,,,1,2
288,0.5971223021582733,,TraditionalBatch,,,1,1
289,0.5928571428571429,,TraditionalBatch,,,1,2
290,0.5886524822695035,,TraditionalBatch,,,1,2
291,0.5845070422535211,,TraditionalBatch,,,1,2
292,0.5874125874125874,,TraditionalBatch,,,1,1
293,0.5902777777777778,,TraditionalBatch,,,0,0
294,0.5862068965517241,,TraditionalBatch,,,1,2
295,0.589041095890411,,TraditionalBatch,,,1,1
296,0.5850340136054422,,TraditionalBatch,,,1,2
297,0.581081081081081,,TraditionalBatch,,,1,2
298,0.5838926174496645,,TraditionalBatch,,,1,1
299,0.5866666666666667,,TraditionalBatch,,,0,0
300,0.5894039735099338,,TraditionalBatch,,,0,0
301,0.5855263157894737,,TraditionalBatch,,,1,2
302,0.5816993464052288,,TraditionalBatch,,,1,2
303,0.577922077922078,,TraditionalBatch,,,1,2
304,0.5741935483870968,,TraditionalBatch,,,1,2
305,0.5705128205128205,,TraditionalBatch,,,1,2
306,0.5732484076433121,,TraditionalBatch,,,0,0
307,0.569620253164557,,TraditionalBatch,,,1,2
308,0.5723270440251572,,TraditionalBatch,,,1,1
309,0.56875,,TraditionalBatch,,,1,2
310,0.5714285714285714,,TraditionalBatch,,,1,1
311,0.5679012345679012,,TraditionalBatch,,,1,2
312,0.5644171779141104,,TraditionalBatch,,,1,2
313,0.5670731707317073,,TraditionalBatch,,,0,0
