round,Accuracy,Cluster,Classifier,X1,X2,Label,GT_Label
0,1.0,,Traditional,,,0,0
1,1.0,,Traditional,,,1,1
2,1.0,,Traditional,,,0,0
3,1.0,,Traditional,,,0,0
4,1.0,,Traditional,,,0,0
5,0.8333333333333334,,Traditional,,,2,1
6,0.8571428571428571,,Traditional,,,2,2
7,0.75,,Traditional,,,1,2
8,0.7777777777777778,,Traditional,,,2,2
9,0.8,,Traditional,,,2,2
10,0.8181818181818182,,Traditional,,,0,0
11,0.75,,Traditional,,,2,1
12,0.7692307692307693,,Traditional,,,0,0
13,0.7857142857142857,,Traditional,,,1,1
14,0.8,,Traditional,,,2,2
15,0.8125,,Traditional,,,1,1
16,0.8235294117647058,,Traditional,,,0,0
17,0.8333333333333334,,Traditional,,,0,0
18,0.8421052631578947,,Traditional,,,2,2
19,0.85,,Traditional,,,1,1
20,0.8571428571428571,,Traditional,,,1,1
21,0.8636363636363636,,Traditional,,,0,0
22,0.8695652173913043,,Traditional,,,0,0
23,0.875,,Traditional,,,2,2
24,0.88,,Traditional,,,2,2
25,0.8846153846153846,,Traditional,,,2,2
26,0.8888888888888888,,Traditional,,,2,2
27,0.8928571428571429,,Traditional,,,0,0
28,0.896551724137931,,Traditional,,,1,1
29,0.8666666666666667,,Traditional,,,1,2
30,0.8709677419354839,,Traditional,,,2,2
31,0.875,,Traditional,,,1,1
32,0.8787878787878788,,Traditional,,,1,1
33,0.8823529411764706,,Traditional,,,1,1
34,0.8571428571428571,,Traditional,,,1,2
35,0.8611111111111112,,Traditional,,,1,1
36,0.8378378378378378,,Traditional,,,1,2
37,0.8421052631578947,,Traditional,,,2,2
38,0.8461538461538461,,Traditional,,,0,0
39,0.85,,Traditional,,,0,0
40,0.8536585365853658,,Traditional,,,0,0
41,0.8333333333333334,,Traditional,,,2,1
42,0.8372093023255814,,Traditional,,,0,0
43,0.8409090909090909,,Traditional,,,1,1
44,0.8444444444444444,,Traditional,,,0,0
45,0.8478260869565217,,Traditional,,,2,2
46,0.8297872340425532,,Traditional,,,2,1
47,0.8333333333333334,,Traditional,,,1,1
48,0.8367346938775511,,Traditional,,,0,0
49,0.84,,Traditional,,,0,0
50,0.8431372549019608,,Traditional,,,0,0
51,0.8269230769230769,,Traditional,,,1,2
52,0.8301886792452831,,Traditional,,,2,2
53,0.8333333333333334,,Traditional,,,0,0
54,0.8363636363636363,,Traditional,,,2,2
55,0.8214285714285714,,Traditional,,,1,2
56,0.8245614035087719,,Traditional,,,1,1
57,0.8275862068965517,,Traditional,,,2,2
58,0.8305084745762712,,Traditional,,,2,2
59,0.8333333333333334,,Traditional,,,0,0
60,0.8360655737704918,,Traditional,,,0,0
61,0.8387096774193549,,Traditional,,,0,0
62,0.8412698412698413,,Traditional,,,2,2
63,0.84375,,Traditional,,,0,0
64,0.8461538461538461,,Traditional,,,2,2
65,0.8484848484848485,,Traditional,,,0,0
66,0.8507462686567164,,Traditional,,,0,0
67,0.8529411764705882,,Traditional,,,0,0
68,0.855072463768116,,Traditional,,,2,2
69,0.8571428571428571,,Traditional,,,1,1
70,0.8591549295774648,,Traditional,,,0,0
71,0.8611111111111112,,Traditional,,,2,2
72,0.863013698630137,,Traditional,,,0,0
73,0.8513513513513513,,Traditional,,,2,1
74,0.84,,Traditional,,,1,2
75,0.8421052631578947,,Traditional,,,0,0
76,0.8311688311688312,,Traditional,,,2,1
77,0.8333333333333334,,Traditional,,,2,2
78,0.8354430379746836,,Traditional,,,2,2
79,0.8375,,Traditional,,,2,2
80,0.8395061728395061,,Traditional,,,0,0
81,0.8414634146341463,,Traditional,,,2,2
82,0.8433734939759037,,Traditional,,,1,1
83,0.8452380952380952,,Traditional,,,0,0
84,0.8352941176470589,,Traditional,,,2,1
85,0.8372093023255814,,Traditional,,,1,1
86,0.8390804597701149,,Traditional,,,0,0
87,0.8295454545454546,,Traditional,,,2,1
88,0.8314606741573034,,Traditional,,,2,2
89,0.8333333333333334,,Traditional,,,2,2
90,0.8351648351648352,,Traditional,,,2,2
91,0.8369565217391305,,Traditional,,,1,1
92,0.8279569892473119,,Traditional,,,2,1
93,0.8191489361702128,,Traditional,,,2,1
94,0.8210526315789474,,Traditional,,,0,0
95,0.8125,,Traditional,,,0,1
96,0.8144329896907216,,Traditional,,,1,1
97,0.8163265306122449,,Traditional,,,1,1
98,0.8181818181818182,,Traditional,,,0,0
99,0.82,,Traditional,,,0,0
100,0.8217821782178217,,Traditional,,,0,0
101,0.8235294117647058,,Traditional,,,0,0
102,0.8252427184466019,,Traditional,,,0,0
103,0.8269230769230769,,Traditional,,,2,2
104,0.8285714285714286,,Traditional,,,1,1
105,0.8301886792452831,,Traditional,,,1,1
106,0.822429906542056,,Traditional,,,1,2
