round,Cluster,X1,X2,Label
,0,6.7,3.3,
,1,7.2,3.6,
,1,7.7,3.8,
,1,7.9,3.8,
,2,7.7,2.6,
,2,7.7,2.8,
,2,7.6,3.0,
,2,7.3,2.9,
,2,7.4,2.8,
,2,7.7,3.0,
,2,7.2,3.2,
,2,7.2,3.0,
,3,5.0,2.0,
,3,4.9,2.3,
,3,4.5,2.3,0.0
,3,4.9,2.4,
,3,5.0,2.3,
,3,5.1,2.5,
,3,4.9,2.5,
,4,6.722222222222222,3.0,
,4,7.0,3.2,
,4,6.9,3.1,
,4,6.5,2.8,
,4,6.6,2.9,1.0
,4,6.7,3.1,
,4,6.6,3.0,
,4,6.8,2.8,
,4,6.7,3.0,
,4,6.7,3.1,
,4,7.1,3.0,
,4,6.5,3.0,2.0
,4,6.7,2.5,
,4,6.5,3.2,
,4,6.8,3.0,
,4,6.5,3.0,2.0
,4,6.115384615384615,3.0,
,4,6.4,3.2,1.0
,4,6.3,3.3,
,4,5.9,3.0,
,4,6.1,2.9,
,4,6.1,2.8,1.0
,4,5.9,3.2,
,4,6.1,2.8,
,4,6.4,2.9,
,4,6.0,2.9,
,4,6.0,2.7,
,4,6.0,3.4,
,4,6.1,3.0,1.0
,4,6.2,2.9,1.0
,4,6.3,3.3,
,4,6.3,2.9,
,4,6.4,2.7,
,4,6.4,3.2,
,4,6.9,3.2,
,4,6.3,2.7,
,4,6.7,3.3,
,4,6.2,2.8,
,4,6.1,3.0,
,4,6.4,2.8,
,4,6.4,2.8,
,4,6.3,2.8,
,4,6.3,3.4,2.0
,4,6.4,3.1,
,4,6.0,3.0,
,4,6.9,3.1,
,4,6.7,3.1,
,4,6.9,3.1,
,4,6.8,3.2,
,4,6.7,3.0,
,4,6.5,3.0,2.0
,4,6.2,3.4,
,5,5.1,3.8,
,5,5.0,3.6,
,5,5.147619047619048,3.5428571428571427,
,5,5.1,3.5,0.0
,5,5.0,3.4,
,5,4.8,3.4,
,5,5.1,3.5,
,5,5.1,3.7,
,5,5.4,3.4,
,5,5.1,3.3,
,5,5.0,3.4,
,5,5.2,3.5,
,5,5.2,3.4,
,5,5.4,3.4,
,5,4.9,3.6,
,5,5.1,3.4,
,5,5.0,3.5,
,5,5.0,3.5,
,5,5.1,3.8,
,5,5.1,3.8,
,5,5.0,3.3,
,6,5.5285714285714285,4.042857142857143,
,6,5.4,3.9,
,6,5.4,3.7,
,6,5.4,3.9,
,6,5.7,3.8,
,6,5.2,4.1,0.0
,6,5.3,3.7,
,6,5.5,3.5,
,6,5.8,4.0,
,6,5.7,4.4,
,6,5.5,4.2,
,7,5.6692307692307695,2.8230769230769233,
,7,5.4714285714285715,2.4857142857142858,
,7,5.5,2.3,
,7,5.7,2.8,
,7,5.2,2.7,
,7,5.6,2.9,
,7,5.6,3.0,
,7,5.8,2.7,
,7,5.6,2.5,
,7,5.7,2.6,
,7,5.5,2.4,
,7,5.5,2.4,1.0
,7,5.8,2.7,
,7,5.4,3.0,
,7,5.6,3.0,
,7,5.5,2.5,
,7,5.5,2.6,
,7,5.8,2.6,
,7,5.6,2.7,
,7,5.7,3.0,
,7,5.7,2.9,
,7,5.7,2.8,
,7,5.8,2.7,
,7,5.7,2.5,2.0
,7,5.8,2.8,
,7,5.6,2.8,
,7,5.8,2.7,
,7,5.9,3.0,
,8,4.794117647058823,3.1941176470588237,
,8,4.9,3.0,0.0
,8,4.7,3.2,
,8,4.6,3.1,
,8,4.375,3.025,
,8,4.6,3.4,
,8,4.4,2.9,
,8,4.9,3.1,
,8,4.8,3.0,
,8,4.3,3.0,
,8,5.0,3.0,
,8,4.7,3.2,
,8,4.8,3.1,
,8,4.6,3.6,0.0
,8,4.8,3.4,
,8,4.9,3.1,
,8,5.0,3.2,
,8,4.4,3.0,
,8,4.4,3.2,
,8,4.8,3.0,
,8,4.6,3.2,
,9,6.2,2.3,
,9,6.0,2.2,
,9,6.2,2.2,
,9,6.3,2.3,
,9,6.3,2.5,
,9,6.0,2.2,2.0
,9,6.1,2.6,
,9,6.3,2.5,
