round,Cluster,X1,X2,Label
,0,6.2,2.2,1.0
,0,6.0,2.2,1.0
,1,5.7,4.4,
,2,4.5,2.3,
,3,7.433333333333334,2.922222222222222,
,3,7.7,2.8,
,3,7.7,3.0,
,3,7.2,3.0,
,3,7.3,2.9,
,3,7.6,3.0,2.0
,3,7.7,2.6,
,3,7.2,3.2,
,3,7.4,2.8,
,3,7.1,3.0,
,3,7.0,3.2,
,3,6.9,3.1,
,3,6.9,3.2,
,4,5.65,2.416666666666667,
,4,5.7,2.6,
,4,5.5,2.5,
,4,5.5,2.3,1.0
,4,6.0,2.2,
,4,5.5,2.4,
,4,5.8,2.7,
,4,5.7,2.5,
,4,5.6,3.0,
,4,5.7,2.8,
,4,5.8,2.7,
,4,5.6,2.8,
,4,5.6,2.7,
,4,5.8,2.8,
,4,5.8,2.7,
,4,5.8,2.7,
,4,5.7,3.0,
,4,5.6,2.9,
,4,5.5,2.4,
,4,5.7,2.9,
,4,5.6,3.0,
,4,5.5,2.6,
,4,5.7,2.8,
,4,5.8,2.6,
,4,5.4,3.0,
,4,5.6,2.5,
,5,5.823076923076923,2.876923076923077,
,5,6.0,3.0,2.0
,5,6.3,2.725,
,5,6.1,3.0,
,5,6.3,2.8,
,5,5.9,3.2,
,5,6.3,2.9,
,5,6.4,2.8,
,5,5.9,3.0,
,5,6.611111111111112,3.1277777777777778,
,5,6.7,3.1,
,5,6.4,3.2,
,5,6.8,3.2,
,5,6.5,3.0,2.0
,5,6.3,3.4,
,5,6.5,3.0,
,5,6.7,3.0,
,5,6.4,3.1,
,5,6.7,3.1,
,5,6.4,2.9,1.0
,5,5.9,3.0,
,5,6.5,3.2,
,5,6.4,2.8,
,5,6.6,2.9,
,5,6.4,3.2,2.0
,5,6.7,3.3,
,5,6.6,3.0,
,5,6.7,3.3,
,5,6.7,3.1,
,5,6.9,3.1,
,5,6.2,2.9,
,5,6.9,3.1,
,5,6.8,3.0,
,5,6.7,3.0,
,5,6.5,2.8,
,5,6.3,2.3,
,5,6.1,2.6,
,5,6.4,2.7,
,5,6.3,2.7,
,5,6.3,2.5,
,5,6.0,2.7,
,5,6.2,2.8,2.0
,5,6.1,2.8,
,5,6.0,2.9,
,5,6.3,2.5,
,5,6.2,3.4,
,5,6.3,3.3,
,5,6.8,2.8,1.0
,5,6.7,2.5,
,5,6.0,3.4,
,5,6.1,2.9,
,5,6.5,3.0,2.0
,5,6.1,2.8,
,5,6.1,3.0,
,5,6.3,3.3,
,6,5.318181818181818,3.7363636363636363,
,6,5.8,4.0,
,6,5.4,3.9,
,6,5.4,3.7,
,6,5.4,3.9,
,6,5.3,3.7,
,6,5.5,4.2,
,6,5.7,3.8,
,6,5.2,4.1,
,6,4.958333333333333,3.466666666666667,
,6,5.0,3.4,
,6,5.1,3.8,
,6,5.4,3.4,
,6,5.1,3.5,
,6,5.1,3.4,
,6,5.1,3.3,
,6,5.4,3.4,
,6,4.9,3.6,
,6,4.8,3.4,0.0
,6,5.1,3.7,
,6,5.1,3.8,
,6,5.1,3.5,
,6,4.8,3.4,
,6,4.6,3.6,0.0
,6,5.0,3.4,
,6,5.0,3.6,
,6,5.0,3.5,
,6,5.1,3.8,
,6,5.0,3.5,
,6,5.2,3.4,
,6,5.5,3.5,
,6,5.2,3.5,
,6,5.0,3.3,
,7,4.676923076923077,3.1076923076923078,
,7,4.4,3.0,
,7,4.7,3.2,
,7,4.8,3.0,
,7,4.7,3.2,
,7,4.6,3.1,
,7,4.4,2.9,
,7,4.9,3.1,
,7,4.6,3.4,
,7,4.9,3.0,
,7,5.0,3.0,
,7,4.4,3.2,
,7,4.6,3.2,
,7,4.8,3.1,
,7,4.9,3.1,
,7,4.3,3.0,
,7,4.8,3.0,
,7,5.0,3.2,
,8,7.45,3.7,
,8,7.7,3.8,
,8,7.2,3.6,
,8,7.9,3.8,
,9,5.05,2.475,
,9,5.2,2.7,1.0
,9,4.9,2.4,
,9,5.1,2.5,
,9,5.0,2.3,
,9,5.0,2.0,
,9,4.9,2.5,
