round,Cluster,X1,X2
,0,7.2,3.6
,0,7.7,3.8
,0,7.9,3.8
,1,5.9,3.0
,2,7.7,2.6
,2,7.6,3.0
,2,7.3,2.9
,2,7.7,2.8
,2,7.4,2.8
,2,7.2,3.2
,2,7.2,3.0
,2,7.7,3.0
,3,5.0,2.0
,3,4.9,2.3
,3,4.5,2.3
,3,4.9,2.4
,3,5.0,2.3
,3,5.1,2.5
,3,4.9,2.5
,4,5.0,3.6
,4,5.147619047619048,3.5428571428571427
,4,5.1,3.5
,4,5.0,3.4
,4,5.1,3.5
,4,5.1,3.8
,4,5.4,3.4
,4,5.1,3.7
,4,5.0,3.4
,4,5.2,3.5
,4,5.2,3.4
,4,5.4,3.4
,4,5.5,3.5
,4,4.9,3.6
,4,5.1,3.4
,4,5.0,3.5
,4,5.0,3.5
,4,5.1,3.8
,4,5.1,3.8
,4,5.3,3.7
,4,5.0,3.3
,5,5.5285714285714285,4.042857142857143
,5,5.4,3.9
,5,5.4,3.7
,5,5.4,3.9
,5,5.7,3.8
,5,5.8,4.0
,5,5.7,4.4
,5,5.5,4.2
,5,5.2,4.1
,6,6.663636363636364,3.0090909090909093
,6,7.0,3.2
,6,6.9,3.1
,6,6.6,2.9
,6,6.7,3.1
,6,6.6,3.0
,6,6.8,2.8
,6,6.7,3.0
,6,6.7,3.1
,6,7.1,3.0
,6,6.5,3.0
,6,6.7,2.5
,6,6.5,3.2
,6,6.8,3.0
,6,6.0636363636363635,2.9909090909090907
,6,6.4,3.2
,6,6.5,2.8
,6,6.3,3.3
,6,5.9,3.0
,6,6.1,2.9
,6,5.9,3.2
,6,6.1,2.8
,6,6.1,2.8
,6,6.4,2.9
,6,6.0,2.9
,6,6.0,3.4
,6,6.1,3.0
,6,6.2,2.9
,6,6.3,3.3
,6,6.3,2.9
,6,6.4,2.7
,6,6.4,3.2
,6,6.5,3.0
,6,6.3,2.7
,6,6.9,3.2
,6,6.7,3.3
,6,6.2,2.8
,6,6.1,3.0
,6,6.4,2.8
,6,6.4,2.8
,6,6.3,2.8
,6,6.3,3.4
,6,6.4,3.1
,6,6.0,3.0
,6,6.9,3.1
,6,6.7,3.1
,6,6.9,3.1
,6,6.8,3.2
,6,6.7,3.3
,6,6.7,3.0
,6,6.5,3.0
,6,6.2,3.4
,7,4.8538461538461535,3.1538461538461537
,7,4.9,3.0
,7,4.4875,3.175
,7,4.7,3.2
,7,4.6,3.1
,7,4.6,3.4
,7,4.9,3.1
,7,4.8,3.4
,7,4.8,3.0
,7,4.4,2.9
,7,4.3,3.0
,7,4.6,3.6
,7,4.8,3.4
,7,4.7,3.2
,7,4.8,3.1
,7,5.1,3.3
,7,5.0,3.0
,7,4.9,3.1
,7,5.0,3.2
,7,4.8,3.0
,7,4.6,3.2
,7,4.4,3.0
,7,4.4,3.2
,8,6.2,2.3
,8,6.0,2.2
,8,6.2,2.2
,8,6.3,2.5
,8,6.3,2.3
,8,6.0,2.2
,8,6.1,2.6
,8,6.3,2.5
,9,5.4714285714285715,2.4857142857142858
,9,5.6692307692307695,2.8230769230769233
,9,5.7,2.8
,9,5.2,2.7
,9,5.5,2.3
,9,5.6,2.9
,9,5.6,3.0
,9,5.8,2.7
,9,5.6,2.5
,9,5.7,2.6
,9,5.5,2.4
,9,5.5,2.4
,9,5.8,2.7
,9,6.0,2.7
,9,5.4,3.0
,9,5.6,3.0
,9,5.5,2.5
,9,5.5,2.6
,9,5.6,2.7
,9,5.8,2.6
,9,5.7,3.0
,9,5.7,2.9
,9,5.7,2.8
,9,5.8,2.7
,9,5.7,2.5
,9,5.8,2.8
,9,5.6,2.8
,9,5.8,2.7
