round,Cluster,X1,X2,Label
,0,6.7,2.5,2.0
,1,4.6,3.6,0.0
,2,6.3,3.4,2.0
,2,6.2,3.4,2.0
,3,5.6,2.5,1.0
,3,5.516666666666667,2.45,
,3,5.5,2.3,1.0
,3,5.5,2.4,1.0
,3,5.5,2.4,1.0
,3,5.5,2.5,1.0
,3,5.5,2.6,1.0
,3,5.6,2.7,1.0
,3,5.7,2.5,2.0
,4,5.0,2.0,1.0
,5,5.75,3.9,
,5,5.8,4.0,0.0
,5,5.7,3.8,0.0
,6,6.625,2.95,
,6,6.5,2.8,1.0
,6,6.6,2.9,1.0
,6,6.7,3.1,1.0
,6,6.4,2.9,1.0
,6,6.6,3.0,1.0
,6,6.8,2.8,1.0
,6,6.7,3.0,1.0
,6,6.7,3.1,1.0
,6,6.5,3.0,2.0
,6,6.3,2.9,2.0
,6,6.4,2.7,2.0
,6,6.5,3.0,2.0
,6,6.3,2.7,2.0
,6,6.2,2.8,2.0
,6,6.4,2.8,2.0
,6,6.4,2.8,2.0
,6,6.3,2.8,2.0
,6,6.7,3.0,2.0
,6,6.5,3.0,2.0
,7,4.85,2.25,
,7,4.5,2.3,0.0
,7,4.9,2.4,1.0
,7,5.0,2.3,1.0
,7,4.9,2.5,2.0
,8,7.2,3.6,2.0
,8,7.7,3.8,2.0
,8,7.9,3.8,2.0
,9,6.2,2.3,
,9,6.0,2.2,1.0
,9,6.2,2.2,1.0
,9,6.3,2.5,1.0
,9,6.3,2.3,1.0
,9,6.0,2.2,2.0
,9,6.1,2.6,2.0
,9,6.3,2.5,2.0
,10,7.7,2.6,2.0
,10,7.7,2.8,2.0
,10,7.6,3.0,2.0
,10,7.3,2.9,2.0
,10,7.4,2.8,2.0
,10,7.7,3.0,2.0
,11,6.5,3.2,2.0
,11,6.3,3.3,1.0
,11,6.35,3.25,
,11,6.4,3.2,1.0
,11,6.3,3.3,2.0
,11,6.4,3.2,2.0
,11,6.4,3.1,2.0
,12,6.95,3.1500000000000004,
,12,7.0,3.2,1.0
,12,6.9,3.1,1.0
,12,7.1,3.0,2.0
,12,6.8,3.0,2.0
,12,6.9,3.2,2.0
,12,6.7,3.3,2.0
,12,7.2,3.2,2.0
,12,7.2,3.0,2.0
,12,6.9,3.1,2.0
,12,6.7,3.1,2.0
,12,6.9,3.1,2.0
,12,6.8,3.2,2.0
,12,6.7,3.3,2.0
,13,4.4,3.2,0.0
,13,4.375,3.025,
,13,4.4,2.9,0.0
,13,4.3,3.0,0.0
,13,4.4,3.0,0.0
,14,4.699999999999999,3.45,
,14,4.65,3.1750000000000003,
,14,4.7,3.2,0.0
,14,4.6,3.1,0.0
,14,4.6,3.4,0.0
,14,4.8,3.4,0.0
,14,4.8,3.4,0.0
,14,4.7,3.2,0.0
,14,4.8875,3.0625,
,14,4.9,3.0,0.0
,14,4.9,3.1,0.0
,14,4.8,3.0,0.0
,14,4.8,3.1,0.0
,14,5.0,3.0,0.0
,14,4.9,3.1,0.0
,14,5.0,3.2,0.0
,14,4.8,3.0,0.0
,14,4.6,3.2,0.0
,15,5.6,4.300000000000001,
,15,5.7,4.4,0.0
,15,5.5,4.2,0.0
,16,5.728571428571429,2.7,
,16,5.6,2.966666666666667,
,16,5.7,2.8,1.0
,16,5.6,2.9,1.0
,16,5.6,3.0,1.0
,16,5.8,2.7,1.0
,16,5.7,2.6,1.0
,16,5.8,2.7,1.0
,16,6.0625,2.875,
,16,5.9,3.0,1.0
,16,6.1,2.9,1.0
,16,6.1,2.8,1.0
,16,6.1,2.8,1.0
,16,6.0,2.9,1.0
,16,6.0,2.7,1.0
,16,6.1,3.0,1.0
,16,5.8,2.6,1.0
,16,6.2,2.9,1.0
,16,5.7,2.8,1.0
,16,5.8,2.7,2.0
,16,5.4,3.0,1.0
,16,5.6,3.0,1.0
,16,5.7,3.0,1.0
,16,5.7,2.9,1.0
,16,5.8,2.8,2.0
,16,5.6,2.8,2.0
,16,6.1,3.0,2.0
,16,6.0,3.0,2.0
,16,5.8,2.7,2.0
,16,5.9,3.0,2.0
,17,5.95,3.3,
,17,5.9,3.2,1.0
,17,6.0,3.4,1.0
,18,5.15,2.6,
,18,5.2,2.7,1.0
,18,5.1,2.5,1.0
,19,5.433333333333334,3.433333333333333,
,19,5.4,3.4,0.0
,19,5.4,3.4,0.0
,19,5.5,3.5,0.0
,19,5.1,3.3,0.0
,19,5.0,3.6,0.0
,19,5.053846153846154,3.453846153846154,
,19,5.1,3.5,0.0
,19,5.0,3.4,0.0
,19,5.1,3.5,0.0
,19,5.1,3.8,0.0
,19,5.1,3.7,0.0
,19,5.0,3.4,0.0
,19,5.2,3.5,0.0
,19,5.2,3.4,0.0
,19,4.9,3.6,0.0
,19,5.1,3.4,0.0
,19,5.0,3.5,0.0
,19,5.0,3.5,0.0
,19,5.0,3.3,0.0
,19,5.1,3.8,0.0
,19,5.1,3.8,0.0
,19,5.233333333333333,3.822222222222222,
,19,5.4,3.9,0.0
,19,5.4,3.7,0.0
,19,5.4,3.9,0.0
,19,5.3,3.7,0.0
,19,5.2,4.1,0.0
